iter	Passed	Remaining
915	1334	122
916	1335	120
917	1336	119
918	1337	117
919	1339	116
920	1340	114
921	1341	113
922	1343	112
923	1344	110
924	1345	109
925	1346	107
926	1348	106
927	1349	104
928	1350	103
929	1352	101
930	1353	100
931	1354	98
932	1355	97
933	1356	95
934	1357	94
935	1358	92
936	1360	91
937	1361	89
938	1362	88
939	1364	87
940	1365	85
941	1366	84
942	1368	82
943	1370	81
944	1371	79
945	1372	78
946	1373	76
947	1375	75
948	1377	74
949	1378	72
950	1380	71
951	1381	69
952	1382	68
953	1383	66
954	1385	65
955	1386	63
956	1387	62
957	1388	60
958	1389	59
959	1390	57
960	1392	56
961	1393	55
962	1394	53
963	1396	52
964	1397	50
965	1398	49
966	1399	47
967	1401	46
968	1402	44
969	1403	43
970	1404	41
971	1406	40
972	1407	39
973	1409	37
974	1410	36
975	1411	34
976	1412	33
977	1413	31
978	1415	30
979	1416	28
980	1417	27
981	1418	25
982	1419	24
983	1421	23
984	1423	21
985	1424	20
986	1425	18
987	1426	17
988	1427	15
989	1429	14
990	1430	12
991	1431	11
992	1433	10
993	1434	8
994	1435	7
995	1437	5
996	1438	4
997	1439	2
998	1440	1
999	1442	0
